sis,nizk
153.9611,60.35466
133.48022,57.11868
177.46895,57.209682
133.17822,58.08367
129.65924,56.94268
209.73376,59.411663
157.65408,57.668674
132.97923,52.367706
131.75723,52.1607
144.69617,52.187706
133.76622,52.644703
145.95915,52.18671
130.74022,52.3217
143.20016,57.13368
163.75603,52.741703
132.51422,57.007683
229.59364,52.6407
159.59108,52.367706
131.83821,53.008705
182.28194,54.155697
149.91214,59.503662
163.78003,60.64566
132.64522,56.414684
140.86818,55.31569
159.57307,55.39969
132.69122,54.724693
161.40306,57.410675
128.43025,55.59369
131.04024,52.520702
136.3462,53.5767
134.15022,55.222687
128.72525,55.235687
155.61108,75.746574
127.872246,68.12262
136.8092,60.008663
165.72603,61.188656
130.93823,54.162697
134.22821,54.436695
145.62215,52.250706
132.93121,52.632706
124.15627,51.951706
151.8031,52.544704
141.38618,52.142708
134.2752,53.023705
145.89413,54.96369
142.71916,56.49568
142.07817,52.277702
152.14812,50.65872
151.50713,54.196697
140.67818,58.706673
133.26122,57.436676
131.03323,51.775707
136.06021,55.921684
143.03815,56.05868
135.19722,52.09671
182.74994,52.604706
137.88719,52.381706
